drug_name,generic_name,indications,dosage,warnings
Phenadone 100 ml syrup,Pheniramine + Pholcodine,علاج السعال والحساسية والبرد عند الأطفال,الجرعة حسب العمر والوزن. راجع التعليمات,يسبب نعاساً. يمنع عند الرضع
Picolax 15 ml oral drops,Sodium Picosulfate,علاج الإمساك ومُسهِّل للأطفال,2-15 قطرة حسب العمر. راجع التعليمات,لا تعطَ يومياً. يستخدم عند الحاجة فقط
Predsol 50 ml syrup,Prednisolone 5mg/5ml,علاج الالتهابات وأمراض المناعة والربو عند الأطفال,الجرعة حسب الحالة والعمر. يحددها الطبيب,لا تتوقف عنه فجأة. يرفع السكر ويضعف المناعة
Pridocaine 15 g cream,Prilocaine + Lidocaine (EMLA),تخدير موضعي للجلد قبل الإبر والعمليات الصغيرة,سماكة كافية وتُغطى بضمادة لمدة ساعة قبل الإجراء,للاستخدام الخارجي فقط. تجنب العيون. لا تستخدم على الجروح
Primrose Plus 30 capsules,Evening Primrose Oil + Vitamins,تخفيف أعراض ما قبل الدورة وأعراض سن اليأس,كبسولة واحدة إلى اثنتين يومياً مع الطعام,مكمل عشبي. استشر طبيبك عند الحمل
Prinorelax 10 capsules,Trimebutine,علاج تشنج الأمعاء ومتلازمة القولون العصبي,كبسولة واحدة 3 مرات يومياً قبل الطعام,يستخدم بحذر عند مشاكل الكلى والكبد
Remowax 15 ml ear drops,Sodium Bicarbonate + Glycerol,إزالة تراكم شمع الأذن ولين الصرة,4-5 قطرات في الأذن مرتين يومياً لمدة 3-7 أيام,افرد رأسك جانباً لمدة دقيقتين بعد التقطير
Rennie 96 chewable tablets,Calcium Carbonate + Magnesium Carbonate,علاج حرقة المعدة والحموضة وعسر الهضم,قرص إلى قرصين عند الحاجة. يُمضغ جيداً,لا تتجاوز 16 قرص يومياً. يمنع عند ارتفاع الكالسيوم
Reparil-Gel N 40 g gel,Aescin + Diethylamine Salicylate,تخفيف التورم والكدمات وآلام الأوردة والعضلات موضعياً,تطبق 3-4 مرات يومياً على المنطقة المصابة,للاستخدام الخارجي. تجنب الجروح والعيون
Rheumatizen 60 g cream,Ketoprofen,تخفيف آلام المفاصل والعضلات والروماتيزم موضعياً,تطبق مرتين إلى ثلاث مرات يومياً وتُدلَّك,للاستخدام الخارجي. تجنب الشمس. تجنب الجروح
Rhinopro 20 capsules,Cetirizine + Pseudoephedrine,علاج الحساسية مع احتقان الأنف,كبسولة واحدة مرتين يومياً,يمنع عند ضغط الدم وأمراض القلب. قد يسبب أرقاً
Salivex-L 10 ml paint,Antifungal + Antibacterial Paint,علاج التهابات الفم والقلاع ومشاكل اللثة,بفرشاة صغيرة على المنطقة المصابة 3-4 مرات يومياً,للاستخدام الفموي. تجنب ابتلاع كميات كبيرة
Sediproct 20 g cream,Prednisolone + Cinchocaine,علاج البواسير والالتهابات الشرجية المؤلمة,كمية صغيرة خارجياً أو داخلياً بالمبسم 2-3 مرات يومياً,لا تستخدم لأكثر من أسبوعين
SelokenZOC 28 tablets,Metoprolol Succinate 50-100mg,علاج ضغط الدم وأمراض القلب والذبحة وتنظيم القلب,قرص واحد يومياً. لا تكسر أو تطحن,لا تتوقف عنه فجأة. يمنع عند الربو الشديد
Solvadol 20 ml spray,Diclofenac + Lidocaine Spray,تخفيف آلام العضلات والمفاصل الموضعية بالرش,رش على المنطقة المؤلمة من مسافة 20 سم 3-4 مرات يومياً,للاستخدام الخارجي. تجنب العيون
Steronate 20 tablets,Spironolactone 25-50mg,علاج الاستسقاء وضغط الدم وقصور القلب,قرص واحد إلى أربعة يومياً مع الطعام,يرفع البوتاسيوم. راقب الكلى والبوتاسيوم
Streptoquin 10 tablets,Streptomycin + Sulphonamide,علاج بعض الالتهابات البكتيرية,الجرعة يحددها الطبيب,يستخدم بوصفة طبية
Tareg 40 mg tablets,Valsartan 40mg,علاج ضغط الدم المرتفع وقصور القلب,قرص واحد يومياً,يمنع في الحمل. راقب وظائف الكلى والبوتاسيوم
Tears Guard 15 ml eye drops,Hydroxypropyl Methylcellulose,ترطيب جفاف العيون وتخفيف تهيج العيون,قطرة إلى قطرتين في كل عين حسب الحاجة,للاستخدام الخارجي. آمن للاستخدام المتكرر
Tentavair 160 mcg oral inhalation,Budesonide + Formoterol 160/4.5mcg,علاج الربو المزمن المعتدل إلى الشديد,استنشاق واحد إلى اثنان مرتين يومياً,لا يستخدم للنوبات الحادة. اشطف فمك بعد الاستنشاق
Vidrop 15 ml oral drops,Vitamin D3 400-1000 IU,تعويض نقص فيتامين د عند الرضع والأطفال,الجرعة حسب العمر. عادة 4-8 قطرات يومياً,لا تتجاوز الجرعة. الجرعات الزائدة ترفع الكالسيوم
Visceralgine 120 ml syrup,Phloroglucinol,علاج التشنجات المعوية والمغص والمعدة,ملعقة صغيرة إلى كبيرة 3 مرات يومياً,مضاد للتشنج. يستخدم بأمان أثناء الحمل
Vitacid C 12 tablets,Vitamin C 1000mg Effervescent,تعزيز المناعة وتعويض نقص فيتامين ج,قرص فوار منحل في ماء يومياً,الجرعات الزائدة تسبب إسهالاً وحصى الكلى
Vitamax 15 capsules,Multivitamins + Minerals,مكمل غذائي شامل لتعزيز الصحة والحيوية,كبسولة واحدة يومياً مع الطعام,لا تتجاوز الجرعة. الجرعات الزائدة من بعض الفيتامينات ضارة
Zantac 20 tablets,Ranitidine 150mg,علاج قرحة المعدة والارتجاع المريئي وحرقة المعدة,قرص واحد مرتين يومياً أو قرصان مرة ليلاً,أُوقف في بعض الدول بسبب شوائب NDMA. يستشار الطبيب
Zenta 100  gm cream,Zinc Oxide + Calamine,علاج التهاب الجلد وطفح الحفاضات والحكة والحروق الشمسية,طبقة رقيقة على المنطقة المصابة مرات عدة يومياً,للاستخدام الخارجي. آمن للرضع. تجنب ملامسة العيون
Zyrtec 10 ml oral drops,Cetirizine Drops,علاج الحساسية والشرى والحكة عند الرضع والأطفال الصغار,الجرعة حسب العمر والوزن. راجع التعليمات,يسبب نعاساً عند بعض الأطفال. احذر مع أمراض الكلى
Zyrtec 20 tablets,Cetirizine 10mg,علاج الحساسية الموسمية والشرى وحكة الجلد,قرص واحد يومياً مساءً,قد يسبب نعاساً. تجنب قيادة السيارات. احذر مع مرضى الكلى
